CellLine,M-SCAN,ecGEM,delta_M-SCAN_minus_ecGEM
MDAMB231,0.7795110116374724,0.635322858875061,0.1441881527624113
RPMI8226,0.7734267729972716,0.677458892437922,0.0959678805593495
HOP92,0.7562803362245688,0.683889518024724,0.0723908181998448
HOP62,0.751890542721184,0.781918288837277,-0.0300277461160929
SR786,0.7477071178382175,0.569856978810051,0.1778501390281665
HS578T,0.7297941675881533,0.391318097036945,0.3384760705512083
786O,0.7205873446160571,0.34974054922677,0.3708467953892871
HT29,0.6902048288081398,0.686612738880352,0.0035920899277878
MALME3M,0.6840203526824643,0.710446070248245,-0.0264257175657807
UO31,0.6205398683192792,0.75565072132165,-0.1351108530023708
NCIH226,0.6168571391304407,0.423724126947817,0.1931330121826237
