analysis,pretty,pathway,sample_n,spearman_rho,spearman_p
colon_only,Colon,TCA,633,0.5414333791376462,1.6955104998496266e-49
colon_only,Colon,PPP,633,0.1877403094166185,1.9700592652937497e-06
colon_only,Colon,OXPHOS,633,0.3563037452359193,2.201948506200512e-20
kidney,Kidney,TCA,949,0.7000704412723797,1.155426842866004e-140
kidney,Kidney,PPP,949,0.350225848731685,9.047696391360607e-29
kidney,Kidney,OXPHOS,949,0.1256602237075528,0.0001038731296164
liver,Liver,TCA,529,0.4073096589895819,1.4712477781988117e-22
liver,Liver,PPP,529,0.4474579046519695,2.0883220536415777e-27
liver,Liver,OXPHOS,529,0.5054111125882357,1.2031887382664784e-35
lung,Lung,TCA,1407,0.3951296564362725,8.69217062876593e-54
lung,Lung,PPP,1407,0.3569505556279518,1.5531810446464838e-43
lung,Lung,OXPHOS,1407,0.3347360936087504,3.502993223660061e-38
prostate,Prostate,TCA,647,0.4684792361949616,1.3154994678479074e-36
prostate,Prostate,PPP,647,0.5230318652041201,1.0307866687721283e-46
prostate,Prostate,OXPHOS,647,0.3293338114912804,7.839745456074604e-18
stomach,Stomach,TCA,618,0.5273287054328976,1.5795850386424315e-45
stomach,Stomach,PPP,618,0.4116133153358391,1.1421098265990555e-26
stomach,Stomach,OXPHOS,618,0.4731283836021539,8.565925440139682e-36
thyroid,Thyroid,TCA,841,0.4499709112371017,3.6875676662867626e-43
thyroid,Thyroid,PPP,841,0.3080534059912467,6.044260597063005e-20
thyroid,Thyroid,OXPHOS,841,0.29569515261091,1.969682506462184e-18
colon_only,Colon,Glycolysis core,633,0.3018174616436979,8.475818993018362e-15
kidney,Kidney,Glycolysis core,949,0.6188587025579716,2.1182862296821643e-101
liver,Liver,Glycolysis core,529,0.4978227634262517,1.782151905945223e-34
lung,Lung,Glycolysis core,1407,0.3870092035228524,1.7207171662101816e-51
prostate,Prostate,Glycolysis core,647,0.2322012438841241,2.2760043681529403e-09
stomach,Stomach,Glycolysis core,618,0.4726886060421521,1.0112033967206889e-35
thyroid,Thyroid,Glycolysis core,841,0.1619052931556991,2.36493575093338e-06
