subsystem,pathway_mean_gain,pathway_total_gain,n_reactions,mean_rank,pathway_rank,represented_in_main_panel,delta_only_not_in_main_panel
Fatty acid metabolism,22.01189041137696,22.01189041137696,1,15.0,1,True,False
Pentose and glucuronate interconversions,15.586698532104492,15.586698532104492,1,26.0,2,False,True
Tryptophan metabolism,11.100494384765623,33.301483154296875,3,133.33333333333334,3,False,True
Starch and sucrose metabolism,9.39597753683726,28.18793261051178,3,178.66666666666666,4,True,False
Glycolysis / Gluconeogenesis,8.896630401196687,204.6224992275238,23,542.1304347826087,5,True,False
Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism,8.085060634111104,153.61615204811096,19,420.89473684210526,6,True,False
Oxidative phosphorylation,6.403871443536547,57.63484299182892,9,287.0,7,True,False
"Valine, leucine, and isoleucine metabolism",5.748144681637104,74.72588086128235,13,536.6153846153846,8,True,False
"Phenylalanine, tyrosine and tryptophan biosynthesis",5.530591029869883,105.08122956752776,19,1176.2105263157894,9,False,True
Pentose phosphate pathway,4.538424259424209,90.7684851884842,20,424.5,10,True,False
"Alanine, aspartate and glutamate metabolism",4.469819296490062,49.168012261390686,11,822.8181818181819,11,False,True
Amino sugar and nucleotide sugar metabolism,4.389661823000226,30.727632761001587,7,682.1428571428571,12,False,True
Glyoxylate and dicarboxylate metabolism,4.362100124359131,4.362100124359131,1,158.0,13,False,True
Inositol phosphate metabolism,3.7242743968963614,3.7242743968963614,1,198.0,14,False,True
Bile acid biosynthesis,3.15203545615077,50.43256729841232,16,508.6875,15,False,True
"Glycine, serine and threonine metabolism",3.102078028023243,49.63324844837189,16,777.625,16,False,True
Metabolism of other amino acids,2.840908527374268,2.840908527374268,1,272.0,17,False,True
Vitamin A metabolism,2.8365166187286377,5.673033237457275,2,277.0,18,False,True
ROS detoxification,2.828927144408226,22.631417155265808,8,387.125,19,False,True
Glutathione metabolism,2.768177100590297,19.37723970413208,7,935.2857142857144,20,True,False
