adrenal,bladder,colon,kidney,liver,lung,ovarian,pancreas,prostate,stomach,testis,thyroid,cancer_group,group,matched_tissue
0.9906083596409244,0.918990558039588,0.8992439213612224,0.7607120305494617,0.8716093044719552,0.943134396251362,0.9334198911542908,0.8691676844861419,0.8511433453509671,0.8859787024169218,0.940169138783904,0.9527833295992096,ACC,low_regional,adrenal
0.9236892117833574,0.993173377149988,0.940876048808091,0.7950538322252476,0.8221351291089104,0.8853049252734801,0.8795899063711325,0.9187675279330122,0.8192448399129945,0.9299944119924728,0.8849086009502485,0.8935783318427549,BLCA,high_regional,bladder
0.8672616856166465,0.914456615249166,0.985468062655818,0.899302967404363,0.836773161649303,0.8902403558958684,0.8757016054441948,0.975720410887375,0.8344501174248398,0.9876088376916962,0.8795280981097968,0.902330698702476,COAD,high_regional,colon
0.7712383315662954,0.8282075008318736,0.8974238662914287,0.9762594583762986,0.8537542721952389,0.7922013822927948,0.7907342556349817,0.8520601017990899,0.7348612349572915,0.8928288047578019,0.7787940289603699,0.8211442961597873,KIRC,low_regional,kidney
0.7385092609708891,0.7997038235979347,0.8837547970013989,0.9899533492129706,0.833849607006076,0.7793480718622486,0.7673601747787109,0.8563854619238588,0.7412507953474431,0.885067718344625,0.7663611852593012,0.8034532764559132,KIRP,low_regional,kidney
0.8357776603033366,0.8120054424750603,0.8455012768854946,0.8195272201075978,0.9965495897156372,0.9193811461687756,0.9346568056161048,0.8092184257339794,0.7969847549079286,0.8248589853860562,0.8897458303959331,0.9110923732671318,LIHC,low_regional,liver
0.9001740520141824,0.8627906023662727,0.8817922654774428,0.766628371301558,0.9208697382283296,0.9957844228494216,0.9788689241374896,0.8588787800084848,0.8740464340001685,0.8674800939157709,0.9565757982911446,0.9802209597265236,LUAD,high_regional,lung
0.9173277065311372,0.8722831645722696,0.8879562402655032,0.7675774414305796,0.915939977712088,0.9982162880039156,0.9798385334495788,0.8635605693354744,0.8807069131830643,0.8728353935113424,0.9501345595625608,0.9825235585922264,LUSC,high_regional,lung
0.8823420638076627,0.8478271389885863,0.8766666678126256,0.7682997163095815,0.9197223645881628,0.98955012550912,0.9737806586159828,0.8595449940447734,0.8734446110317613,0.863704962635363,0.9521373852240268,0.9729879758579426,OV,high_regional,ovarian
0.880255198759108,0.9240105860851238,0.9799866473830078,0.868404545774348,0.8272054474650108,0.8932834217558592,0.8743599129473686,0.9916047656382015,0.8423376395753608,0.9822056729761844,0.8831696066993475,0.895217939995928,PAAD,high_regional,pancreas
0.8102601703756792,0.7926978913648772,0.8182670064048305,0.7453001902414944,0.7965020726042779,0.883547816441188,0.8574682162524695,0.8176909561650509,0.9943142227771664,0.8078301618256022,0.8501638663191451,0.8881354426172547,PRAD,low_regional,prostate
0.8711954089368573,0.9191550905786028,0.9900170223739616,0.9020271777141672,0.8316495320195072,0.883483066718628,0.8646331674243692,0.976862553562072,0.8287951164149522,0.9930687679828984,0.8786201705011562,0.896942140116606,STAD,high_regional,stomach
0.933989161104934,0.8900399093040677,0.8926143594908741,0.7684748818116149,0.8849762018356944,0.9619069492538618,0.935868566104757,0.8779185667274607,0.8753143834727813,0.8818360917756459,0.9816957824164392,0.9690681209680092,TGCT,high_regional,testis
0.9163022187235472,0.8707725900428535,0.897323048232108,0.7928093608550735,0.912726611096806,0.9871108645612712,0.9657633859600724,0.858638642818645,0.8843731575451406,0.8803972730059731,0.9530834887011992,0.997746696951828,THCA,low_regional,thyroid
